ho-container  | 23:27:49 [HO][AUDIT] mTLS peer CN=CarOwner fp=28392203D21812C8 tls=TLSv1.3 suite=TLS_AES_256_GCM_SHA384
ho-container  | 23:27:49 [HO][INFO] Reservation: avail=b92b4a25... spot=SPOT-A1 price=5
ho-container  | 23:27:49 [HO][AUDIT] RESERVATION OK resv=041637ec... co=CarOwner
ho-container  | 23:27:49 [HO][INFO] Sent reservation response to CarOwner
ho-container  | 23:27:50 [HO][AUDIT] mTLS peer CN=CarOwner fp=28392203D21812C8 tls=TLSv1.3 suite=TLS_AES_256_GCM_SHA384
ho-container  | 23:27:50 [HO][INFO] Payment: chain=39ec6d21... resv=041637ec... tokens=5
ho-container  | 23:27:50 [HO][INFO] Payment verified: chain=39ec6d21... tokens=5 start=0
ho-container  | 23:27:50 [HO][INFO] Settlement request: chain=39ec6d21... y=5 newLastIdx=5
ho-container  | 23:27:50 [HO][AUDIT] SP SETTLEMENT ACCEPTED chain=39ec6d21...
ho-container  | 23:27:50 [HO][INFO] Verifying SP payment receipt
ho-container  | 23:27:50 [HO][AUDIT] RECEIPT VERIFIED id=3869e640...
ho-container  | 23:27:50 [HO][AUDIT] PAYMENT ACCEPTED chain=39ec6d21... lastIdx=4
ho-container  | 23:27:50 [HO][INFO] Sent pay response to CarOwner
ho-container  | 23:27:53 [HO][INFO] NEGATIVE TEST: Attempting double-spend replay
ho-container  | 23:27:53 [HO][INFO] Settlement request: chain=39ec6d21... y=5 newLastIdx=5
ho-container  | 23:27:53 [HO][SEC_ERR] SP SETTLEMENT REJECTED: double_spend - DOUBLE_SPEND_DETECTED: attempting to reuse already-spent tokens
ho-container  | 23:27:53 [HO][AUDIT] SECURITY SUCCESS: SP rejected double-spend
ho-container  | 23:27:53 [HO][SEC_ERR] DOUBLE_SPEND detected by SP: currentIdx=5 rejectedIdx=5
