ho-container  | 23:30:47 [HO][AUDIT] mTLS peer CN=CarOwner fp=74C6A1D9CAE0E157 tls=TLSv1.3 suite=TLS_AES_256_GCM_SHA384
ho-container  | 23:30:47 [HO][INFO] Reservation: avail=98712ccd... spot=SPOT-A1 price=5
ho-container  | 23:30:47 [HO][AUDIT] RESERVATION OK resv=91d46e56... co=CarOwner
ho-container  | 23:30:47 [HO][INFO] Sent reservation response to CarOwner
ho-container  | 23:30:48 [HO][AUDIT] mTLS peer CN=CarOwner fp=74C6A1D9CAE0E157 tls=TLSv1.3 suite=TLS_AES_256_GCM_SHA384
ho-container  | 23:30:48 [HO][INFO] Payment: chain=a97b8bcd... resv=91d46e56... tokens=5
ho-container  | 23:30:48 [HO][INFO] Payment verified: chain=a97b8bcd... tokens=5 start=0
ho-container  | 23:30:48 [HO][INFO] Settlement request: chain=a97b8bcd... y=5 newLastIdx=5
ho-container  | 23:30:48 [HO][AUDIT] SP SETTLEMENT ACCEPTED chain=a97b8bcd...
ho-container  | 23:30:48 [HO][INFO] Verifying SP payment receipt
ho-container  | 23:30:48 [HO][AUDIT] RECEIPT VERIFIED id=cce2b4dc...
ho-container  | 23:30:48 [HO][AUDIT] PAYMENT ACCEPTED chain=a97b8bcd... lastIdx=4
ho-container  | 23:30:48 [HO][INFO] Sent pay response to CarOwner
ho-container  | 23:30:51 [HO][INFO] NEGATIVE TEST: Attempting double-spend replay
ho-container  | 23:30:51 [HO][INFO] Settlement request: chain=a97b8bcd... y=5 newLastIdx=5
ho-container  | 23:30:51 [HO][SEC_ERR] SP SETTLEMENT REJECTED: double_spend - DOUBLE_SPEND_DETECTED: attempting to reuse already-spent tokens
ho-container  | 23:30:51 [HO][SEC_ERR] DOUBLE_SPEND detected by SP: currentIdx=5 rejectedIdx=5
ho-container  | 23:30:51 [HO][AUDIT] SECURITY SUCCESS: SP rejected double-spend
