ho-container  | 23:42:21 [HO][AUDIT] mTLS peer CN=CarOwner fp=204C7E0CEDB5E0CE tls=TLSv1.3 suite=TLS_AES_256_GCM_SHA384
ho-container  | 23:42:21 [HO][INFO] Reservation: avail=a474e771... spot=SPOT-A1 price=5
ho-container  | 23:42:21 [HO][AUDIT] RESERVATION OK resv=2ca0a3c6... co=CarOwner
ho-container  | 23:42:21 [HO][INFO] Sent reservation response to CarOwner
ho-container  | 23:42:21 [HO][AUDIT] mTLS peer CN=CarOwner fp=204C7E0CEDB5E0CE tls=TLSv1.3 suite=TLS_AES_256_GCM_SHA384
ho-container  | 23:42:21 [HO][INFO] Payment: chain=e61d5389... resv=2ca0a3c6... tokens=5
ho-container  | 23:42:21 [HO][INFO] Payment verified: chain=e61d5389... tokens=5 start=0
ho-container  | 23:42:21 [HO][INFO] Settlement request: chain=e61d5389... y=5 newLastIdx=5
ho-container  | 23:42:21 [HO][AUDIT] SP SETTLEMENT ACCEPTED chain=e61d5389...
ho-container  | 23:42:21 [HO][INFO] Verifying SP payment receipt
ho-container  | 23:42:21 [HO][AUDIT] RECEIPT VERIFIED id=900f07e1...
ho-container  | 23:42:21 [HO][AUDIT] PAYMENT ACCEPTED chain=e61d5389... lastIdx=4
ho-container  | 23:42:21 [HO][INFO] Sent pay response to CarOwner
ho-container  | 23:42:24 [HO][INFO] NEGATIVE TEST: Attempting double-spend replay
ho-container  | 23:42:24 [HO][INFO] Settlement request: chain=e61d5389... y=5 newLastIdx=5
ho-container  | 23:42:24 [HO][SEC_ERR] SP SETTLEMENT REJECTED: double_spend - DOUBLE_SPEND_DETECTED: attempting to reuse already-spent tokens
ho-container  | 23:42:24 [HO][SEC_ERR] DOUBLE_SPEND detected by SP: currentIdx=5 rejectedIdx=5
ho-container  | 23:42:24 [HO][AUDIT] SECURITY SUCCESS: SP rejected double-spend
