ho-container  | 23:44:48 [HO][AUDIT] mTLS peer CN=CarOwner fp=3BA9B41E213CEA31 tls=TLSv1.3 suite=TLS_AES_256_GCM_SHA384
ho-container  | 23:44:48 [HO][INFO] Reservation: avail=512634b8... spot=SPOT-A1 price=5
ho-container  | 23:44:48 [HO][AUDIT] RESERVATION OK resv=f07dc14e... co=CarOwner
ho-container  | 23:44:48 [HO][INFO] Sent reservation response to CarOwner
ho-container  | 23:44:49 [HO][AUDIT] mTLS peer CN=CarOwner fp=3BA9B41E213CEA31 tls=TLSv1.3 suite=TLS_AES_256_GCM_SHA384
ho-container  | 23:44:49 [HO][INFO] Payment: chain=9891d571... resv=f07dc14e... tokens=5
ho-container  | 23:44:49 [HO][INFO] Payment verified: chain=9891d571... tokens=5 start=0
ho-container  | 23:44:49 [HO][INFO] Settlement request: chain=9891d571... y=5 newLastIdx=5
ho-container  | 23:44:49 [HO][AUDIT] SP SETTLEMENT ACCEPTED chain=9891d571...
ho-container  | 23:44:49 [HO][INFO] Verifying SP payment receipt
ho-container  | 23:44:49 [HO][AUDIT] RECEIPT VERIFIED id=9a30732c...
ho-container  | 23:44:49 [HO][AUDIT] PAYMENT ACCEPTED chain=9891d571... lastIdx=4
ho-container  | 23:44:49 [HO][INFO] Sent pay response to CarOwner
ho-container  | 23:44:52 [HO][INFO] NEGATIVE TEST: Attempting double-spend replay
ho-container  | 23:44:52 [HO][INFO] Settlement request: chain=9891d571... y=5 newLastIdx=5
ho-container  | 23:44:52 [HO][SEC_ERR] SP SETTLEMENT REJECTED: double_spend - DOUBLE_SPEND_DETECTED: attempting to reuse already-spent tokens
ho-container  | 23:44:52 [HO][AUDIT] SECURITY SUCCESS: SP rejected double-spend
ho-container  | 23:44:52 [HO][SEC_ERR] DOUBLE_SPEND detected by SP: currentIdx=5 rejectedIdx=5
