ho-container  | 23:50:14 [HO][INFO] Waiting for CAuth and SP to start...
ho-container  | 23:50:22 [HO][INFO] HO starting - initializing crypto
ho-container  | 23:50:22 [HO][AUDIT] Identity established: HomeOwner Serial=45D11FC5...
ho-container  | 23:50:22 [HO][INFO] Publishing parking availability to SP
ho-container  | 23:50:23 [HO][INFO] Publishing availability: spot=SPOT-A1 price=5 tokens
ho-container  | 23:50:23 [HO][AUDIT] Availability published: aa31024e...
ho-container  | 23:50:23 [HO][INFO] Starting HO Reservation & Payment Server on port 8445
ho-container  | 23:50:23 [HO][INFO] Reservation server ready on :8445 TLS=TLSv1.3,TLSv1.2
ho-container  | 23:50:23 [HO][AUDIT] mTLS enforcement=REQUIRED for CO
ho-container  | 23:50:32 [HO][AUDIT] mTLS peer CN=CarOwner fp=CCAAFC5A37A94C14 tls=TLSv1.3 suite=TLS_AES_256_GCM_SHA384
ho-container  | 23:50:32 [HO][INFO] Reservation: avail=32acda5e... spot=SPOT-A1 price=5
ho-container  | 23:50:32 [HO][WARN] Availability ID mismatch: req=32acda5e...
ho-container  | 23:50:32 [HO][AUDIT] RESERVATION NOT_OK resv=ac8cd9a8... co=CarOwner
ho-container  | 23:50:32 [HO][INFO] Sent reservation response to CarOwner
ho-container  | 23:50:32 [HO][AUDIT] mTLS peer CN=CarOwner fp=CCAAFC5A37A94C14 tls=TLSv1.3 suite=TLS_AES_256_GCM_SHA384
ho-container  | 23:50:32 [HO][INFO] Payment: chain=1cf44b50... resv=ac8cd9a8... tokens=5
ho-container  | 23:50:32 [HO][INFO] Sent pay response to CarOwner
ho-container  | 23:50:32 [HO][SEC_ERR] Payment security failure: Reservation verdict != OK
ho-container  | 23:50:33 [HO][AUDIT] mTLS peer CN=CarOwner fp=CCAAFC5A37A94C14 tls=TLSv1.3 suite=TLS_AES_256_GCM_SHA384
ho-container  | 23:50:33 [HO][INFO] Payment: chain=1cf44b50... resv=ac8cd9a8... tokens=5
ho-container  | 23:50:33 [HO][SEC_ERR] Payment security failure: Reservation verdict != OK
ho-container  | 23:50:33 [HO][INFO] Sent pay response to CarOwner
