sp-container  | 23:47:09 [SP][AUDIT] mTLS peer CN=CarOwner fp=CCAAFC5A37A94C14 tls=TLSv1.3 suite=TLS_AES_256_GCM_SHA384
sp-container  | 23:47:09 [SP][INFO] Returned 1 availability records to CarOwner
sp-container  | 23:47:10 [SP][AUDIT] mTLS peer CN=CarOwner fp=CCAAFC5A37A94C14 tls=TLSv1.3 suite=TLS_AES_256_GCM_SHA384
sp-container  | 23:47:10 [SP][INFO] Generating 5 tokens for CarOwner
sp-container  | 23:47:10 [SP][AUDIT] Token batch issued: chainId=1b9adbb3... count=5 to=CarOwner
sp-container  | 23:47:10 [SP][AUDIT] mTLS peer CN=HomeOwner fp=58C169422886A140 tls=TLSv1.3 suite=TLS_AES_256_GCM_SHA384
sp-container  | 23:47:10 [SP][INFO] Settlement: chain=1b9adbb3... resv=37f0137e... y=5
sp-container  | 23:47:10 [SP][AUDIT] SETTLEMENT chain=1b9adbb3... y=5 idx=0->5 remaining=0
sp-container  | 23:47:10 [SP][AUDIT] RECEIPT receiptId=2fb55c3b... resv=37f0137e...
sp-container  | 23:47:13 [SP][AUDIT] mTLS peer CN=HomeOwner fp=58C169422886A140 tls=TLSv1.3 suite=TLS_AES_256_GCM_SHA384
sp-container  | 23:47:13 [SP][INFO] Settlement: chain=1b9adbb3... resv=37f0137e... y=5
sp-container  | 23:47:13 [SP][SEC_ERR] DOUBLE_SPEND chain=1b9adbb3... old=5 new=5
